,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
522,Valley of the Dolls 50th Anniversary Edition,['Jacqueline Susann'],"Grove/Atlantic, Inc.",2016-07-04,0802125352,9780802125354,496,3.5,48,,,
523,Суперплоть : перевод с английского : роман,['Жаккуелине Сусанн'],,1992,5828400142,9785828400140,376,,,,,
524,Bebekler Vadisi (Valley of the Dolls),['Jacqueline Susann'],,1967,1626012962,9781626012967,,,,,,
527,The Great Gatsby,['F. Scott Fitzgerald'],Atlântico Press,2013-05-16,989855942X,9789898559425,190,,,US,14.1,USD
528,F. Scott Fitzgerald's The Great Gatsby,['Matthew Joseph Bruccoli'],Carroll & Graf Pub,2002,0786709960,9780786709960,325,,,,,
529,F. Scott Fitzgerald's the Great Gatsby,['Harold Bloom'],Infobase Publishing,2010,143813276X,9781438132761,191,,,,,
530,The Complete Works of F. Scott Fitzgerald (illustrated),"['F. Scott Fitzgerald', 'Francis Scott Fitzgerald']",Strelbytskyy Multimedia Publishing,2020-06-22,9385031597,9789385031595,,,,,,
531,The Great Gatsby : Om Illustrated Classics,['F Scott Fitzgerald'],Om Books International,,0521402301,9780521402309,16,,,US,0.99,USD
532,F. Scott Fitzgerald: The Great Gatsby,"['Fitzgerald, Francis Scott Fitzgerald', 'F. Scott Fitzgerald']",Cambridge University Press,1991-08-30,9352762770,9789352762774,225,4,6,,,
533,The Originals: The Great Gatsby,['F. Scott Fitzgerald'],Om Books International,2018-07-05,1410335925,9781410335920,130,,,US,0.99,USD
537,Gone with the Wind,['Margaret Mitchell'],Pan,2014,1447264533,9781447264538,983,4.5,3209,,,
538,Margaret Mitchell's Gone With the Wind,"['Ellen F. Brown', 'John Wiley Jr.']",Taylor Trade Publications,2011-02-16,158979527X,9781589795273,432,4,11,US,9.99,USD
539,Gone with the Wind (Wisehouse Classics Edition),['Margaret Mitchell'],Wisehouse Classics,2020,917637579X,9789176375792,794,4.5,2993,,,
540,Gone with the Wind Volume 2,['Margaret Mitchell'],Createspace Independent Publishing Platform,2018-06-03,1720681015,9781720681014,676,,,,,
541,"Margaret Mitchell's Gone with the Wind Letters, 1936-1949",['Margaret Mitchell'],Simon & Schuster Books For Young Readers,1986,0020209509,9780020209508,441,,,,,
542,The Irish Roots of Margaret Mitchell's Gone with the Wind,"[""David O'Connell""]","Claves & Petry, Limited",1996,0965309304,9780965309301,121,,,,,
543,Gone with the Wind Volume 1,['Margaret Mitchell'],Createspace Independent Publishing Platform,2018-06-04,1720681007,9781720681007,454,,,,,
544,Margaret Mitchell's Gone with the Wind,"['Gail Rae Rosensfit', 'Gail Rae']",Research & Education Assoc.,1994,0878919554,9780878919550,144,,,,,
545,Study Guide to Gone with the Wind by Margaret Mitchell,['Intelligent Education'],Influence Publishers,2020-02-15,1645423271,9781645423270,110,,,US,5.99,USD
547,Rebecca,['Daphne du Maurier'],"Little, Brown",2013-12-17,0316323705,9780316323703,448,4,2793,US,10.99,USD
548,Rebecca,['Dame Daphne Du Maurier'],,1988,0316253634,9780316253635,403,,,,,
549,The Rebecca Notebook,['Daphne du Maurier'],"Little, Brown",2013-12-17,1535853751,9781535853750,192,,,US,7.99,USD
550,Gale Researcher Guide for: Rebecca: A Gothic Romance by Daphne du Maurier (1938) and Alfred Hitchcock (1940),['Leland Poague'],"Gale, Cengage Learning ",,0230030548,9780230030541,9,,,US,6.99,USD
551,Domestic Ideology and Sexual Transgressions in Daphne Du Maurier’s Rebecca,['蔡采齡'],,2017,0349007683,9780349007687,100,,,,,
552,Rebecca,['Daphne Du Maurier'],,2007-08-17,886576466X,9788865764664,150,4,2797,,,
553,Rebecca Mug,['Daphne Du Maurier'],Virago Press,2015-11-26,0349007691,9780349007694,,,,,,
557,Nineteen Eighty-Four. Illustrated,['George Orwell'],Strelbytskyy Multimedia Publishing,2020-07-03,1405862416,9781405862417,,,,,,
558,Nineteen Eighty-four,"['George Orwell', 'Mike Dean']",Penguin Longman,2008,2491704781,9782491704780,76,4.5,2,,,
559,1984: by Book George Orwell Paperback Ninety Nineteen Eighty Four Original English 1994 Geaorge Geroge Goerge Georges First,['George Orwell'],,2020-05-13,1783195606,9781783195602,288,,,,,
560,1984 (Nineteen Eighty-Four),"['George Orwell', 'Duncan Macmillan', 'Robert Icke']",Oberon Books,2013-10-01,3638775186,9783638775182,96,,,,,
561,"Nineteen Eighty-four, [by] George Orwell","['George Orwell', 'Michael Sherborne']",York Notes Advanced,2005,0737748060,9780737748062,112,,,,,
562,"George Orwell, Nineteen Eighty-Four: Winston Smith's Rebellion",['Gaby Schneidereit'],GRIN Verlag,2007-08-24,1843153254,9781843153252,40,,,,,
563,The Abuse of Power in George Orwell's Nineteen Eighty-four,['Dedria Bryfonski'],"Greenhaven Press, Incorporated",2010,3668132305,9783668132306,215,,,,,
566,The Revolt of Mamie Stover,['William Bradford Huie'],,1954,0856178705,9780856178702,216,,,,,
567,Mud on the Stars,['William Bradford Huie'],University of Alabama Press,1996-10-21,0817355847,9780817355845,375,,,,,
568,He Slew the Dreamer,['William Bradford Huie'],Univ. Press of Mississippi,2018-11-15,1496820665,9781496820662,240,,,US,25,USD
569,The Rise and Fall of Modern American Conservatism,['David Farber'],Princeton University Press,2012-08-26,1400834295,9781400834297,312,,,US,23.95,USD
570,The Complete Index to Literary Sources in Film,['Alan Goble'],Walter de Gruyter,1999-01-01,3110951940,9783110951943,1039,,,US,340,USD
571,The American Mercury,"['Henry Louis Mencken', 'George Jean Nathan']",,1951-07,080184326X,9780801843266,,,,,,
576,The Girl with the Dragon Tattoo,['Stieg Larsson'],Vintage Crime/Black Lizard,2008-09-16,0307272117,9780307272119,480,3.5,3186,US,9.99,USD
577,Girl with the Dragon Tattoo Trilogy Bundle,['Stieg Larsson'],Vintage Crime/Black Lizard,2011-11-29,0307950638,9780307950635,1800,3.5,100,US,24.99,USD
578,The Girl with the Dragon Tattoo,['Denise Mina'],Vertigo,2014-04,1401242863,9781401242862,312,3.5,14,,,
579,The Psychology of the Girl with the Dragon Tattoo,"['Robin S. Rosenberg', ""Shannon O'Neill""]","BenBella Books, Inc.",2011-12-06,1936661357,9781936661350,304,4,1,US,14.99,USD
581,Stieg Larsson: Author of The Girl With the Dragon Tattoo,['Noelle Angelica Simon'],Hyperink Inc,2012-05-15,1614643008,9781614643005,25,,,,,
582,The Girl with the Dragon Tattoo #2,"['Sylvain Runberg', 'Stieg Larsson']",Titan Comics,2017-07-26,178586372X,9781785863721,68,,,US,5.99,USD
583,The Girl With The Dragon Tattoo (complete collection),['Sylvain Runberg'],Titan Comics,2017-08-09,1785863819,9781785863813,138,5,1,US,19.99,USD
584,The Girl with the Dragon Tattoo and Philosophy,['Eric Bronson'],John Wiley & Sons,2011-09-20,1118132939,9781118132937,240,5,1,US,15,USD
585,The Girl with the Dragon Tattoo: The Millennium Trilogy 1,['Stieg Larsson'],MacLehose Press,2008-03-01,1743343078,9781743343074,542,3.5,2851,,,
586,The Lost Symbol,['Dan Brown'],Anchor,2009-09-15,0385533136,9780385533133,528,3.5,105,US,9.99,USD
587,The Lost Symbol: Special Illustrated Edition,['Dan Brown'],Doubleday,2010-11-02,0385534507,9780385534505,480,4,13,,,
588,Dan Brown's The Lost Symbol,['Alex Carmine'],Punked Books,2009,1908375019,9781908375018,156,4.5,7,,,
589,Decoding The Lost Symbol,['Simon Cox'],Simon and Schuster,2009-11-03,1439172617,9781439172612,256,3.5,6,US,12.99,USD
590,33 Keys to Unlocking the Lost Symbol,['Thomas R. Beyer'],ReadHowYouWant.com,2010-10-08,1458715728,9781458715722,204,,,,,
591,"The Guide to Dan Brown's the Lost Symbol: Freemasonry, Noetic Science, and the Hidden History of America",['Greg Taylor'],Daily Grail Publishing,2009-10,0980711126,9780980711127,220,,,,,
592,The Lost Symbol Illustrated edition,['Dan Brown'],Random House,2010-11-11,1409057976,9781409057970,528,4,5,,,
593,The Lost Symbol -- Found,['Graeme Davis'],Nimble Books LLC,2009-11,1608880117,9781608880119,144,5,1,,,
594,Dan Brown's the Lost Symbol by Nigel Tomm,['Nigel Tomm'],,2009-10-25,1449569382,9781449569389,244,,,,,
595,Behind the Lost Symbol,['Tim Collins'],Penguin,2010-03-02,1101197617,9781101197615,224,,,,,
596,The Hunger Games: Special Edition,['Suzanne Collins'],Scholastic Inc.,2009-09-01,0545229936,9780545229937,384,4,7113,US,7.99,USD
597,The Hunger Games,['Suzanne Collins'],Scholastic,2012,1407133179,9781407133171,464,4,57,,,
598,The Hunger Games Trilogy,['Suzanne Collins'],Scholastic Inc.,2011-05-01,0545387205,9780545387200,1187,4,1476,US,25.99,USD
599,The Hunger Games Complete Trilogy,['Suzanne Collins'],Scholastic UK,2013-10-03,1407139983,9781407139982,1344,4.5,4,,,
600,Violence in Suzanne Collins' The Hunger Games Trilogy,['Gary Wiener'],Greenhaven Publishing LLC,2014-08-21,0737770686,9780737770681,200,,,US,51.04,USD
601,Hunger Games Trilogy 1: The Hunger Games: Anniversary Edition,['Suzanne Collins'],Scholastic UK,2019-01-03,1407196189,9781407196183,512,,,,,
602,The Hunger Games by Suzanne Collins (Book Analysis),['Bright Summaries'],BrightSummaries.com,2016-11-09,2806281113,9782806281111,40,,,,,
603,"Of Bread, Blood and The Hunger Games","['Mary F. Pharr', 'Leisa A. Clark', 'Donald E. Palumbo']",McFarland,2012-07-12,1476600325,9781476600321,256,4,6,US,17.99,USD
604,The Hunger Games,['Suzanne Collins'],Scholastic Inc.,2008,0439023521,9780439023528,374,4.5,3256,,,
605,The Hunger Games Special Edition,['Suzanne Collins'],,2018-12,1760662100,9781760662103,432,,,,,
606,Foreign Relations of the United States,['United States. Department of State'],,1974,085786890X,9780857868909,,,,US,,
618,Who Moved My Cheese?,"['Spencer Johnson', 'Steve Pileggi']",Putnam Publishing Group,2003,0399240160,9780399240164,61,4.5,3,,,
619,Who Moved My Cheese? (Tamil),['Spencer Johnson'],Manjul Publishing,2019-04-18,8186775250,9788186775257,100,,,US,7,USD
620,Who Moved My Cheese? for Teens,['Spencer Johnson'],Putnam Publishing Group,2002-01-01,0399240071,9780399240072,96,4,5,,,
621,Who Moved My Cheese Change Survival Kit,"['Spencer Johnson', 'Kenneth Blanchard']",Putnam Berkley Audio,2000-10-01,0970565100,9780970565105,,,,,,
622,Who Moved My Cheese? 2004,['Spencer Johnson'],,2003,0740737023,9780740737022,,3.5,3105,,,
623,Who Made My Cheese?,['Dave Arnott'],iUniverse,2002-04-01,0595225144,9780595225149,112,,,,,
624,Who Moved My Cheese? (Edisi Bahasa Melayu),['Spencer Johnson'],PTS Professional,2013,9673691975,9789673691975,80,3.5,3189,,,
625,"Summary Of ""Who Moved My Cheese? - By Spencer Johnson""",['Sapiens Editorial'],Sapiens Editorial,2018-04-01,3963761873,9783963761874,20,,,US,3.99,USD
626,Who Moved My Cheese? (Marathi),['Spencer Johnson'],Manjul Publishing,,818677534X,9788186775349,91,,,US,5.63,USD
627,OUT OF THE MAZE (Sekuel Who Moved My Cheese),['Spencer Johnson'],Elex Media Komputindo,2020-10-28,6020488616,9786020488615,96,,,US,6.07,USD
628,A Brief History of Time,['Stephen W. Hawking'],Bantam,1998,0553380168,9780553380163,212,3.5,5,,,
629,Stephen Hawking's A Brief History of Time,['Stephen W. Hawking'],Bantam Dell Publishing Group,1992,0553077724,9780553077728,194,1,1,,,
630,The Illustrated a Brief History of Time,['Stephen Hawking'],Bantam,1996,0553103741,9780553103748,248,4,11,,,
631,A Brief History of Time,['Stephen W. Hawking'],Random House,1995,0553175211,9780553175219,219,4,1,,,
632,A Briefer History of Time,"['Stephen W. Hawking', 'Stephen Hawking', 'Leonard Mlodinow']",Bantam,2005,0553804367,9780553804362,162,4,18,,,
633,A Brief History of Time - Summarized for Busy People: Based On the Book By Stephen Hawking,['Goldmine Reads'],"Lulu Press, Inc",2018-07-27,1387979639,9781387979639,,,,US,2.99,USD
635,Summary of A Brief History of Time,['Readtrepreneur Publishing'],Readtrepreneur Publishing,2019-05-24,1690404469,9781690404460,74,,,,,
636,The Universe in a Nutshell,"['Stephen W. Hawking', 'STEPHEN W AUTOR HAWKING']",Bantam,2001,055380202X,9780553802023,216,3,19,,,
637,A Briefer History of Time,"['Stephen Hawking', 'Leonard Mlodinow']",Bantam,2007-12-18,0307417840,9780307417848,176,4,19,US,13.99,USD
638,Paul Et Virginie,"['Jacques Henri Bernardin de SAINT PIERRE', 'L. T. VENTOUILLAC']",,1819,8026882202,9788026882206,244,,,,,
639,Paul et Virginie,['Jacques-Henri-Bernardin de Saint-Pierre'],,18??,2406062074,9782406062073,188,,,US,,
640,Paul & Virginie,['Jacques-Henri-Bernardin de Saint-Pierre'],,1877,0366404067,9780366404063,328,,,,,
652,Lust for Life,['Irving Stone'],Arrow,2018-08-09,1787461394,9781787461390,432,4,13,,,
653,More Book Lust,['Nancy Pearl'],Sasquatch Books,2005,1570614350,9781570614354,286,3.5,16,,,
654,Book Lust to Go,['Nancy Pearl'],Sasquatch Books,2010-06-01,1570617015,9781570617010,320,4,24,,,
656,The Wind in the Willows,['Kenneth Grahame'],,1908,0393057747,9780393057744,302,4,18,,,
657,The Wind in the Willows,['Kenneth Grahame'],"Pioneer Drama Service, Inc.",1929,1599613417,9781599613413,350,,,US,,
658,The Annotated Wind in the Willows,['Kenneth Grahame'],W. W. Norton & Company,2009,0871291606,9780871291608,384,5,2,,,
659,Wind in the Willows 2,['Kenneth Grahame'],ABDO,2007-07,1577595394,9781577595397,32,,,,,
660,Kenneth Grahame's The Wind in the Willows,"['Joseph Baldwin', 'Kenneth Grahame']",Dramatic Publishing,1966,0810872595,9780810872592,118,5,1,,,
667,The 7 Habits of Highly Effective People,['Stephen R. Covey'],Simon and Schuster,2004,0743272455,9780743272452,372,4.5,23,,,
668,The Seven Habits of Highly Effective People,['Stephen R. Covey'],Macmillan Reference USA,1997,0783881150,9780783881157,572,4,63,,,
669,The 7 Habits of Highly Effective People Personal Workbook,['Stephen R. Covey'],Simon and Schuster,2003,0743250974,9780743250979,174,3.5,45,,,
670,The 7 Habits of Highly Effective People,['Stephen R. Covey'],Mango Media Inc.,2016-01-01,1633533107,9781633533103,393,4.5,6,,,
672,The 7 Habits of Highly Effective People,['Instaread'],Instaread Summaries,2016-04-20,1683780310,9781683780311,38,,,US,2.99,USD
673,The 7 Habits of Highly Effective People Cards,['Stephen R. Covey'],,2003-04-01,1401901166,9781401901165,,4,1,,,
674,The 7 Habits of Highly Effective Families,['Stephen R. Covey'],St. Martin's Press,2014-08-05,1466874325,9781466874329,390,4,4,US,11.99,USD
675,The Seven Habits of Highly Effective People,['Stephen R. Covey'],,1992,0671711172,9780671711177,358,4,3361,,,
676,The 7 Habits of Highly Effective People Cards Prepack,['Stephen R. Covey'],Hay House,2003-04-01,1401901174,9781401901172,,,,,,
677,Virgin Soil Upturned,"['Mikhail Aleksandrovich Sholokhov', 'R. C. Daglish']",University Press of the Pacific,2000-12-01,0898751144,9780898751147,468,,,,,
678,Virgin Soil Upturned,['Mikhail Aleksandrovich Sholokhov'],,1956,1483152162,9781483152165,419,,,,,
682,The Celestine Prophecy,['James Redfield'],Grand Central Publishing,2008-08-01,0446545554,9780446545556,247,3,3733,US,13.99,USD
683,The Celestine Prophecy,"['James M. Redfield', 'Carol Adrienne']",,1995,1863594833,9781863594837,285,3,2,,,
684,The Celestine Prophecy: A Pocket Guide To The Nine Insights (Storycuts),['James Redfield'],Random House,2011-12-08,1448125715,9781448125715,57,,,,,
685,The Celestine Insights,['James Redfield'],Grand Central Pub,1997-10,0446523941,9780446523943,482,,,,,
686,La Novena Revelacion,['James Redfield'],Atlantida Editorial S.A.,2001-11-01,9500826011,9789500826013,,4,6,,,
687,The Celestine Vision,['James Redfield'],Grand Central Publishing,1999-11-01,0446675237,9780446675239,288,4,3,,,
688,Profecia Celestina / The Celestine Prophecy,['James Redfield'],Grijalbo Mondadori,1999-07-01,9700508382,9789700508382,,,,,,
689,Holding the Vision,"['James Redfield', 'Carol Adrienne']",Grand Central Publishing,2011-10-03,1455512249,9781455512249,384,,,US,9.99,USD
690,The Tenth Insight. Holding the Vision,['James Redfield'],,1996-10,0446673307,9780446673303,,,,,,
691,The Tenth Insight,['James Redfield'],Warner Treasures,1997,0446912131,9780446912136,64,4,7,,,
692,The Fault in Our Stars,['John Green'],Penguin,2012-01-10,1101569182,9781101569184,336,4.5,2029,US,9.99,USD
693,The Fault in Our Stars,"['John Green,John', 'Editorial Editorial World']",CreateSpace,2015-05-30,1514153653,9781514153659,106,,,,,
694,"Reading Log of ""The Fault in Our Stars"" by John Green",['Leopold Pfeiffer'],GRIN Verlag,2015-08-27,3668037124,9783668037120,19,,,US,8.99,USD
695,"Mortality in the Novel ""The Fault in Our Stars"" by John Green. An Exploration of the Theme with Reference to the Cancer Patients Hazel Grace and Augustus Waters",['Rahul Gautam'],,2016-09-22,3668281580,9783668281585,20,,,,,
696,The Fault in Our Stars,['Robert Crayola'],CreateSpace,2014-04-14,1499139152,9781499139150,58,,,,,
697,Discourse on Disease in the Novel The Fault in Our Stars by John Green,['Maja Kajbič'],,2015,1410392929,9781410392923,178,,,,,
702,The Shack,['William P. Young'],Windblown Media,2008-06-20,0964729296,9780964729292,256,3.5,2091,US,9.99,USD
703,The Shack,['Wm. Paul Young'],Windblown Media,2008-09-02,0964729288,9780964729285,384,4.5,39,,,
704,The Shack,"['Paul WM. Young', 'William P. Young']",,2007,1607510405,9781607510406,446,3,8515,,,
705,"Summary of ""The Shack"" by William P. Young - Concise & Informative Summary - StickyBooks",['StickyBooks'],Pronoun,2017-09-29,1537835270,9781537835273,20,,,,,
706,The Shack,['William Paul Young'],Inochinokotobasha/ Tsai Fong Books,2015-06,4264032172,9784264032175,365,,,,,
707,The Lies We Believed about God,['W. M. . Paul Young'],,2016-11-01,1471152391,9781471152399,272,5,1,,,
708,The Shack: Reflections for Every Day of the Year,['Wm Paul Young'],Hachette UK,2012-10-11,144474593X,9781444745931,384,2,1,,,
709,Quicklet on The Shack by William Young,['Susan Bowman'],Hyperink Inc,2011-12-20,1614642087,9781614642084,40,,,,,
710,Finding God in the Shack,['Roger E. Olson'],InterVarsity Press,2009-09-20,0830877924,9780830877928,160,3,32,US,12.99,USD
711,"God, the Bible and the Shack","['Gary Deddo', 'Cathy Deddo']",InterVarsity Press,2010-08-27,0830863672,9780830863679,32,4,3,US,2.49,USD
712,The Godfather,['Mario Puzo'],Penguin,2005,0451217403,9780451217400,433,4.5,17,,,
713,The Godfather,['Mario Puzo'],Pan,1970,0330024574,9780330024570,448,4,86,,,
714,"A Study Guide for Mario Puzo's ""The Godfather""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,1410346927,9781410346926,31,,,US,3.99,USD
715,The Making of the Godfather,['Mario Puzo'],Grand Central Publishing,2013-04-23,1455548936,9781455548934,42,,,US,0.99,USD
716,The Godfather Returns,['Mark Winegardner'],"Random House Digital, Inc.",2005,0345478983,9780345478986,538,,,,,
717,Selected from the Godfather,['Mario Puzo'],Literacy Volunteers of,1990-06-01,0929631226,9780929631226,63,,,,,
718,"The 'Godfather' Papers, and Other Confessions",['Mario Puzo'],,1972,0813337232,9780813337234,252,,,,,
719,The Godfather Book,['Peter Cowie'],,1999-09-01,1942872313,9781942872313,272,,,,,
720,The Godfather Notebook,['Francis Ford Coppola'],Simon and Schuster,2016-12-20,3640742273,9783640742271,784,,,US,19.99,USD
722,Love Story,['Erich Segal'],,2006,0340898275,9780340898277,133,3.5,58,,,
723,Love Story [Fiftieth Anniversary Edition],['Erich Segal'],HarperCollins,2020-02-04,0063026023,9780063026025,176,3.5,41,US,7.99,USD
724,Love Story,['Erich Segal'],,1997,2921458268,9782921458269,136,3.5,55,,,
725,Love story [texte (gros caractères)],['Erich Segal'],Aylmer [Québec] : Éditions Jouvence,1992*,019479122X,9780194791229,233,,,,,
726,Oxford Bookworms Library: Stage 3: Love Story,"['Erich Segal', 'Rosemary Border']",OUP Oxford,2007-11-08,1444711563,9781444711561,80,,,,,
727,Love Story - Ssa,['Erich Segal'],,2006-01-30,1444768514,9781444768510,,,,,,
728,Only Love,['Erich Segal'],Hachette UK,2013-07-04,0198026595,9780198026594,256,3,1,,,
732,"Catching Fire (The Hunger Games, Book 2)",['Suzanne Collins'],Scholastic Inc.,2010-06-01,0545227240,9780545227247,400,4,3462,US,7.99,USD
733,The Hunger Games 2. Catching Fire. 10th Anniversary Edition,['Suzanne Collins'],,2018-11,1407188917,9781407188911,448,,,,,
735,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD
736,The Hunger Games Book 2: Catching Fire - Special Sales Edition,['Suzanne Collins'],,2018-07-05,1407191306,9781407191300,448,,,,,
737,Catching Fire #2,['Suzanne Collins'],,2014,9351035972,9789351035978,391,,,,,
738,Catching Fire,"['Bookbuddy', 'Suzanne Collins']",CreateSpace,2014-02-22,1496035267,9781496035264,38,,,,,
739,Catching Fire: the Hungar Games by Suzanne Collins -- Review,['Expert Book Reviews'],CreateSpace,2014-01-07,1494885905,9781494885908,40,,,,,
740,Catching Fire: Movie Tie-in Edition,['Suzanne Collins'],Scholastic Inc.,2013-10-08,0545633249,9780545633246,400,4.5,232,,,
741,The Hunger Games: Catching Fire: The Official Illustrated Movie Companion,['Kate Egan'],Scholastic Inc.,2013-11-22,0545647142,9780545647144,160,4,10,US,11.99,USD
742,"Mockingjay (The Hunger Games, Book 3)",['Suzanne Collins'],Scholastic Inc.,2010-08-24,0545317800,9780545317801,400,4,3632,US,7.99,USD
743,Mockingjay,['Suzanne Collins'],,2014-11-01,1743629877,9781743629871,480,5,1,,,
745,"Mockingjay: Movie Tie-In Edition (The Hunger Games, Book 3)",['Suzanne Collins'],Scholastic Inc.,2014-09-30,0545796687,9780545796682,400,4,1044,,,
746,Mockingjay - Classic De-specced Special Sales Exclusive,['Suzanne Collins'],,2018-05-03,1407192256,9781407192253,448,,,,,
747,"Hunger Games 4-Book Digital Collection (The Hunger Games, Catching Fire, Mockingjay, The Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Inc.,2020-10-06,1338715259,9781338715255,,,,US,42.99,USD
748,Mockingjay: The Hunger Games - Book Three (Study Guide),['BookCaps Study Guides Staff'],BookCaps Study Guides,2011,161042901X,9781610429016,,5,7,US,3.97,USD
750,Sinsajo / Mockingjay,['Suzanne Collins'],,2012,8427202148,9788427202146,422,4,12,,,
751,"Hunger Games 4-Book Hardcover Box Set (the Hunger Games, Catching Fire, Mockingjay, the Ballad of Songbirds and Snakes)",['Suzanne Collins'],Scholastic Press,2020-10-06,1338686534,9781338686531,1872,,,,,
752,Kitchen,['Banana Yoshimoto'],Open Road + Grove/Atlantic,2015-09-15,0802190464,9780802190468,160,3.5,48,US,9.99,USD
753,"A Study Guide for Mahoko Yoshimoto's ""Kitchen""","['Gale, Cengage Learning']","Gale, Cengage Learning ",2016-06-29,1410350525,9781410350527,17,,,US,3.99,USD
754,Wild Women in the Kitchen,"['Nicole Alper ', 'Lynette Rohrer Shirk ']",Mango Media Inc.,1996-06-01,1609258304,9781609258306,256,,,US,14.99,USD
756,Andromeda Nebula,['Ivan Yefremov'],"Lulu Press, Inc",2017-02-03,1365729990,9781365729997,,,,,,
758,Autobiography of a Yogi,['Paramahansa Yogananda'],Good Press,2019-11-19,8193540166,9788193540169,1541,,,US,0.99,USD
759,The Autobiography of a Yogi,"['Paramahansa Yogananda', 'SBP Editors']",Samaira Book Publishers,2017-11-04,1565891082,9781565891081,640,,,US,0.2,USD
760,Autobiography of a Yogi,['Paramhansa Yogananda'],Crystal Clarity Pubs,1994-03,8190256203,9788190256209,481,,,,,
762,Summary of Paramahansa Yogananda’s Autobiography of a Yogi by Milkyway Media,['Milkyway Media'],Milkyway Media,2020-04-24,1519296606,9781519296603,25,,,US,2.99,USD
763,Autobiography of a Yogi,['Paramahansa Paramahansa Yogananda'],Createspace Independent Publishing Platform,2015-11-01,0876122454,9780876122457,502,,,,,
764,Autobiography of a Yogi - Bulgarian,['Paramahansa Yogananda'],,2013-07,0876121296,9798672696317,642,,,,,
768,Gone Girl,['Gillian Flynn'],,2014,0307588378,9780307588371,422,3.5,919,,,
770,Gone Girl,['Abookaday'],,2016-08-20,1535281863,9781535281867,86,,,,,
771,Gone Girl by Gillian Flynn (Book Analysis),['Bright Summaries'],BrightSummaries.com,2019-04-03,2808017421,9782808017428,58,,,,,
772,Gone Girl (Movie Tie-In Edition),['Gillian Flynn'],Modernista,2015-10-01,9176459063,9789176459065,490,,,US,7.37,USD
773,Gone Girl (Flink pike),['Gillian Flynn'],Font Forlag AS,2014-09-18,8281693304,9788281693302,476,,,,,
774,Study Guide: Gone Girl by Gillian Flynn (SuperSummary),['SuperSummary'],,2019-04-07,1092996729,9781092996723,53,,,,,
775,Gone Girl - Yang Hilang,['Gillian Flynn'],Gramedia Pustaka Utama,2014-11-18,6020310728,9786020310725,616,,,US,7.19,USD
778,The Girl on the Train,['Paula Hawkins'],Penguin,2015-01-13,0698185390,9780698185395,336,3.5,2974,US,9.99,USD
780,A-z - the Girl on the Train,['Book*Sense'],Createspace Independent Publishing Platform,2015-12-26,1522915133,9781522915133,70,,,,,
781,The Girl On the Train - Summarized for Busy People: A Novel: Based on the Book by Paula Hawkins,['Goldmine Reads'],"Lulu Press, Inc",2017-11-22,1387388797,9781387388790,,,,US,2.99,USD
782,SUMMARY OF THE GIRL ON THE TRAIN,['INSTAREAD. SUMMARIES'],,2016,1945272147,9781945272141,,,,,,
783,The Girl on the Train Summary,['Billionaire Mind Publishing'],,2017-02-02,1542814618,9781542814614,68,,,,,
784,Into the Water,['Paula Hawkins'],Penguin,2017-05-02,0735211213,9780735211216,400,3,83,US,11.99,USD
785,The Girl on the Train by Paula Hawkins (Book Analysis),['Bright Summaries'],BrightSummaries.com,2017-11-03,2808004508,9782808004503,52,,,,,
788,All Quiet on the Western Front,['Erich Maria Remarque'],Random House,2013-09-03,0812985532,9780812985535,240,4.5,4,US,5.99,USD
789,All Quiet on the Western Front - Erich Maria Remarque,['Harold Bloom'],Infobase Publishing,2009-01-01,143811365X,9781438113654,,,,,,
790,Erich Maria Remarque's All Quiet on the Western Front,['Erich Maria Remarque'],Infobase Publishing,2008,0791098303,9780791098301,128,5,2,,,
791,All Quiet on the Western Front,"['Robert Waterhouse', 'Erich Maria Remarque']","Dramatists Play Service, Inc.",2019-08-12,0822240041,9780822240044,88,,,,,
792,All Quiet on the Western Front with Related Readings,['Erich Maria Remarque'],,2000,0028179943,9780028179940,158,4,164,,,
794,The Story Behind Erich Maria Remarque's All Quiet on the Western Front,['Peter Gutierrez'],Heinemann-Raintree Library,2006,2806273307,9782806273307,56,,,,,
795,All Quiet on the Western Front by Erich Maria Remarque (Book Analysis),['Bright Summaries'],BrightSummaries.com,2015-12-21,1645421112,9781645421115,24,,,,,
796,Study Guide to All Quiet on the Western Front by Erich Maria Remarque,['Intelligent Education'],Influence Publishers,2020-02-15,0737768088,9780737768084,74,,,US,5.99,USD
798,The Bermuda Triangle,"['Charles Berlitz', 'Joseph Manson Valentine']",,1996-04-01,0285633260,9780285633261,208,3,6,,,
799,The Bermuda Triangle,['Gail B. Stewart'],Capstone,2009,160152336X,9781601523365,96,,,,,
801,The Bermuda Triangle,['Charles Frambach Berlitz'],,1974,1508185700,9781508185703,203,,,,,
802,Tracking the Bermuda Triangle,"['Jenna Vale', 'Aaron Rosenberg']","The Rosen Publishing Group, Inc",2018-12-15,1448847591,9781448847594,64,,,,,
