,Book_Title,Author,Publisher,Published_Date,ISBN_10,ISBN_13,Page_Count,Average_Rating,Rating_Count,Sale_Country,Sale_Amount,Sale_Currency
100,The Adventures Of Pinocchio - Carlo Collodi (Stage-2),['Carlo Collodi'],Maviçatı Yayınları,,0679834664,9798691602177,66,,,US,,
101,The Illustrated Adventures of Pinocchio,"['Graphic Ebooks', 'Carlo Collodi']",BookCaps Study Guides,2011,1742571271,9780679834663,,,,,3.97,USD
106,The Da Vinci Code,['Dan Brown'],Anchor,2009,0307474275,9780307474278,597,4,40,,,
107,The Da Vinci Code (The Young Adult Adaptation),['Dan Brown'],Delacorte Press,2016-09-13,1524715840,9781524715847,416,,,US,10.99,USD
108,The Da Vinci Code (Abridged Edition),['Dan Brown'],Penguin UK,2016-09-08,0141373008,9780141373003,432,3,3259,,,
109,The Truth Behind the Da Vinci Code,['Richard Abanes'],Harvest House Publishers,2004,0736914390,9780736914390,96,4,2,,,
110,The Da Vinci Code Travel Journal,['Dan Brown'],Clarkson Potter,2006-03,0307345769,9780307345769,160,4,2,,,
111,The Da Vinci Code : Fact Or Fiction?,"['Hank Hanegraaff', 'Paul L. Maier']","Tyndale House Publishers, Inc.",2004,1414302797,9781414302799,81,5,1,,,
112,The Da Vinci Code (Republish),['Dan Brown'],Bentang Pustaka,2018-08-02,6022911842,9786022911845,680,,,US,5.44,USD
113,The Real History Behind the Da Vinci Code,['Sharan Newman'],Penguin,2005,0425200124,9780425200124,337,,,,,
114,The Da Vinci Code,['Nicky Gumbel'],Alpha International,2006,1904074812,9781904074816,58,4,1,,,
115,The Man Behind the Da Vinci Code,['Lisa Rogak'],Andrews McMeel Publishing,2005,0740756427,9780740756429,140,3.5,7,,,
116,Harry Potter and the Chamber of Secrets by J.K. Rowling,"['J. K. Rowling', 'Linda Ward Beech']",Scholastic Teaching Resources,2000,043921114X,9780439211147,16,4,7,,,
117,Harry Potter and the Chamber of Secrets,['J.K. Rowling'],Pottermore Publishing,2015-12-08,1781100500,9781781100509,341,4.5,2388,US,8.99,USD
118,Harry Potter and the Chamber of Secrets by J.K. Rowling (Book Analysis),['Bright Summaries'],BrightSummaries.com,2018-02-07,2806295971,9782806295972,62,,,,,
119,Harry Potter,"['K Rowling Joanne', 'Britanic']",,2016-01-18,1523480831,9781523480838,140,,,,,
120,Harry Potter and the Chamber of Secrets,"['J K Rowling', 'Scholastic, Inc. Staff']",,2002,0439425239,9780439425230,32,,,,,
121,Harry Potter and the Chamber of Secrets - Gryffindor Edition,['J. K. Rowling'],Bloomsbury Children's Books,2018-06-28,1408898098,9781408898093,371,,,,,
123,Harry Potter and the Chamber of Secrets Art Coloring Book,['J K Rowling'],,2002-10-01,0439418984,9780439418980,32,,,,,
126,Harry Potter and the Prisoner of Azkaban,['J. K. Rowling'],Scholastic,1999,0439136350,9780439136358,435,4.5,3210,,,
127,Harry Potter and the Prisoner of Azkaban by J.K. Rowling (Book Analysis),['Bright Summaries'],BrightSummaries.com,2018-02-07,2806295998,9782806295996,62,,,,,
128,Harry Potter and the Prisoner of Azkaban Painting Book,['J. K. Rowling'],,2004-05,0563492643,9780563492641,16,5,2,,,
129,Harry Potter and the Prisoner of Azkaban,['J. K. Rowling'],Arthur a Levine,1999,1526606232,9781526606235,435,4.5,2122,,,
130,Harry Potter and the Prisoner of Azkaban - Slytherin Edition,['J. K. Rowling'],Bloomsbury Children's Books,2019-06-13,0563492651,9780563492658,465,,,,,
131,Harry Potter and the Prisoner of Azkaban Pull-Out Poster Book,['J. K. Rowling'],,2004-05,043966196X,9780439661966,32,5,1,,,
132,Harry Potter & the Prisoner of Azkaban Floor Diplay,['J. K. Rowling'],,2004-05,1526606186,9781526606181,,,,,,
133,Harry Potter and the Prisoner of Azkaban. Ravenclaw Edition,['J.k. Rowling'],Bloomsbury Children's Books,2019-06-13,043965548X,9780439655484,465,,,,,
134,Harry Potter and the Prisoner of Azkaban (Book 3),"['Rowling, J.K.']",Pottermore,2015-01-10,1499663005,9781499663006,547,4.5,2122,,,
136,Harry Potter and the Goblet of Fire,"['Inc. Scholastic', 'J. K. Rowling']",Turtleback Books,2013-08-27,0606323481,9780606323482,768,4.5,125,,,
137,Harry Potter and the Goblet of Fire,['J. K. Rowling'],Scholastic,2000,0439139597,9780439139595,734,4.5,1409,,,
138,Harry Potter and the Goblet of Fire by J.K. Rowling,"['J. K. Rowling', 'Linda Ward Beech']",Scholastic Professional Books,2000,0439231949,9780439231947,16,,,,,
139,Harry Potter and the goblet of fire (Arabic).,['J. K. Rowling'],,19??,1408821583,9781408821589,223,,,,,
140,Harry Potter and the Goblet of Fire,"['Joanne Kathleen Rowling', 'Stephen Fry']",,2001,1526610337,9781526610331,,5,1,,,
141,Harry Potter and the Goblet of Fire - Slytherin Edition,['J. K. Rowling'],Bloomsbury,2020-01-23,1526610299,9781526610294,627,,,,,
142,Harry Potter,['J. K. Rowling'],,2000,1526610272,9781526610270,636,,,,,
143,Harry Potter and the Goblet of Fire - Hufflepuff Edition,['J. K. Rowling'],Bloomsbury,2020-01-23,1526610310,9781526610317,627,,,,,
146,Harry Potter and the Order of the Phoenix,['J. K. Rowling'],Scholastic,2003,043935806X,9780439358064,870,4.5,507,,,
147,Harry Potter and the Order of the Phoenix - Gryffindor Edition,['J. K. Rowling'],Bloomsbury Children's Books,2020-06-11,1526618141,9781526618146,816,,,,,
148,Harry Potter and the Order of the Phoenix by J.K. Rowling (Book Analysis),['Bright Summaries'],BrightSummaries.com,2018-10-24,2808012578,9782808012577,54,,,,,
149,Harry Potter [Volume 5]: Harry Potter and the Order of the Phoenix,['J. K. Rowling'],,2004,0756941636,9780756941635,870,,,,,
150,Harry Potter and the Order of the Phoenix - Hufflepuff Edition,['J.K. Rowling'],Bloomsbury Children's Books,2020-06-11,1526618168,9781526618160,816,,,,,
151,Harry Potter and the Order of the Phoenix - Slytherin Edition,['J.K Rowling'],Bloomsbury,2020-06-11,1526618214,9781526618214,816,,,,,
152,Harry Potter and the Order of the Phoenix - Ravenclaw Edition,['J.K Rowling'],Bloomsbury Children's Books,2020-06-11,1526618184,9781526618184,816,,,,,
153,Harry Potter and the Order of the Phoenix,['John Pennington'],,2017-02-09,1543035108,9781543035100,,,,,,
154,Harry Potter and the Half-Blood Prince,['J. K. Rowling'],Bloomsbury Publishing,2013,1408835010,9781408835012,607,4,7,,,
155,"Broken Wand (Or, How J.K. Rowling Killed Harry Potter)",['Timothy A. Wolf'],Strategic Book Publishing,2011-02,1612040209,9781612040202,182,2,4,,,
156,Harry Potter and the Half-Blood Prince,['J. K. Rowling'],Bloomsbury Publishing,2013,1408835010,9781408835012,607,4,7,,,
157,Harry Potter and the Half-Blood Prince - Slytherin Edition,['J.K. Rowling'],Bloomsbury Children's Books,2021-01-14,152661829X,9781526618290,560,,,,,
158,Harry Potter and the Half-Blood Prince - Gryffindor Edition,['J.K. Rowling'],Bloomsbury Children's Books,2021-01-14,1526618230,9781526618238,560,,,,,
159,Harry Potter and the Half-Blood Prince by J.K. Rowling (Book Analysis),['Bright Summaries'],BrightSummaries.com,2018-12-13,2808013132,9782808013130,52,,,,,
160,Harry Potter and the Half-Blood Prince - Ravenclaw Edition,['J.K. Rowling'],Bloomsbury Children's Books,2021-01-14,1526618265,9781526618269,560,,,,,
161,Harry Potter and the Half-Blood Prince - Hufflepuff Edition,['J.K. Rowling'],Bloomsbury Children's Books,2021-01-14,1526618257,9781526618252,560,,,,,
